data,commit,nodi,archi,grado_medio,isolati,community,archi_raw_wiki,nodi_raw,nodi_wiki,nodi_engine,note_md,con_frontmatter,lezioni
2026-08-06,3c10018,1193,1531,2.57,9,135,8,567,184,99,107,50,6
2026-08-07,5d9f42f,1246,1584,2.54,9,159,31,618,184,100,130,73,8
2026-08-08,8330734,1393,1847,2.65,9,166,31,623,184,101,131,74,11
2026-08-09,08a4a6e,1602,2115,2.64,9,184,49,743,231,101,152,95,11
2026-08-10,fc39892,1642,2164,2.64,9,186,49,743,231,101,152,95,16
2026-08-11,f0e540f,1798,2391,2.66,9,213,80,782,299,101,181,124,22
2026-08-12,87e9135,3084,4078,2.64,1,323,80,782,299,102,181,126,28
2026-08-13,cd9bf88,1941,2651,2.73,6,215,80,782,299,102,181,126,30
2026-08-14,fae9a3d,2436,3162,2.6,0,278,80,782,299,102,181,126,32
